s,C,1/m,m,1/m,1/m,1/m
Time,T_fire,K_fire,V_fire,K_left,K_right,K_branch
 3.6412134E+001, 2.0006296E+001, 1.4253662E-017, 3.0000000E+001, 0.0000000E+000, 1.4253662E-017, 5.2098338E-107
 3.6608273E+001, 2.0007093E+001, 4.6668104E-017, 3.0000000E+001, 0.0000000E+000, 4.6668104E-017, 1.0392111E-105
 3.6956687E+001, 2.0008598E+001, 2.7853532E-015, 3.0000000E+001, 0.0000000E+000, 2.7853532E-015, 6.3502284E-104
 3.7261237E+001, 2.0010601E+001, 7.3423082E-012, 3.0000000E+001, 0.0000000E+000, 7.3423082E-012, 2.9941243E-102
 3.7506657E+001, 2.0012600E+001, 7.9563407E-009, 3.0000000E+001, 8.9845112E-176, 7.9563407E-009, 5.1113230E-101
 3.7874787E+001, 2.0015815E+001, 1.2402158E-004, 3.0000000E+001, 8.1060086E-171, 1.2402158E-004, 1.5271879E-099
 3.8203161E+001, 2.0904858E+001, 1.4080261E-001, 2.3022021E+001, 1.8730982E-167, 1.4080261E-001, 3.3378742E-098
 3.8422077E+001, 2.6505140E+001, 9.9351211E-001, 3.1719132E+000, 1.9643984E-165, 9.9351211E-001, 2.9201081E-097
 3.8750451E+001, 3.1424876E+001, 1.6912734E+000, 1.7811241E+000, 3.3684477E-163, 1.6912734E+000, 2.8696972E-096
 3.9078826E+001, 3.2146655E+001, 1.7805006E+000, 1.6851802E+000, 4.2555055E-161, 1.7805006E+000, 3.1195464E-095
 3.9383350E+001, 3.1288257E+001, 1.6595171E+000, 1.8095866E+000, 2.4865493E-159, 1.6595171E+000, 2.5458634E-094
 3.9649561E+001, 2.9440065E+001, 1.4029962E+000, 2.1436888E+000, 7.2557180E-158, 1.4029962E+000, 1.5535281E-093
 3.9911013E+001, 2.7719936E+001, 1.1582379E+000, 2.5980588E+000, 1.5805414E-156, 1.1582379E+000, 8.8871454E-093
 4.0237574E+001, 2.5898745E+001, 8.9343974E-001, 3.3832053E+000, 4.2843198E-155, 8.9343974E-001, 1.0362458E-091
 4.0574341E+001, 2.4109356E+001, 6.2911874E-001, 4.8233026E+000, 1.0700211E-153, 6.2911874E-001, 3.8673442E-090
 4.0911107E+001, 2.2597135E+001, 4.0323243E-001, 7.5737017E+000, 2.4036155E-152, 4.0323243E-001, 1.9181357E-088
 4.1135618E+001, 2.1749062E+001, 2.6968232E-001, 1.1188000E+001, 2.4092275E-151, 2.6968232E-001, 3.3300933E-087
 4.1472385E+001, 2.1242099E+001, 1.8922558E-001, 1.6051497E+001, 3.1270189E-150, 1.8922558E-001, 9.2285181E-086
 4.1809152E+001, 2.0861876E+001, 1.2868991E-001, 2.3535988E+001, 4.7148233E-149, 1.2868991E-001, 3.0493784E-084
 4.2008226E+001, 2.0672859E+001, 9.8272772E-002, 2.9569875E+001, 2.9421816E-148, 9.8272772E-002, 3.2877770E-083
 4.2306837E+001, 2.0551404E+001, 7.8483240E-002, 3.0000000E+001, 1.8383938E-147, 7.8483240E-002, 4.8051087E-082
 4.2605448E+001, 2.0449597E+001, 6.1631027E-002, 3.0000000E+001, 1.1764781E-146, 6.1631027E-002, 9.2859304E-081
 4.2904059E+001, 2.0381779E+001, 5.0185198E-002, 3.0000000E+001, 6.1235574E-146, 5.0185198E-002, 1.6319820E-079
 4.3202670E+001, 2.0333700E+001, 4.1931760E-002, 3.0000000E+001, 2.6525127E-145, 4.1931760E-002, 2.7644125E-078
 4.3511234E+001, 2.0298730E+001, 3.5729412E-002, 3.0000000E+001, 9.9576505E-145, 3.5729412E-002, 1.2715538E-076
 4.3839706E+001, 2.0273613E+001, 3.1009043E-002, 3.0000000E+001, 3.2361690E-144, 3.1009043E-002, 4.8727108E-074
 4.4168179E+001, 2.0256935E+001, 2.7559923E-002, 3.0000000E+001, 8.6501300E-144, 2.7559923E-002, 3.0181697E-071
 4.4496651E+001, 2.0248709E+001, 2.5432916E-002, 3.0000000E+001, 1.9284633E-143, 2.5432916E-002, 1.6823919E-068
 4.4715632E+001, 2.0252502E+001, 2.5307039E-002, 3.0000000E+001, 3.5405440E-143, 2.5307039E-002, 1.7305750E-066
 4.5044104E+001, 2.0290443E+001, 3.0682974E-002, 3.0000000E+001, 7.2229993E-143, 3.0682974E-002, 5.0092332E-064
